lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR
6.58737724096296,51.3601383628813,0871233/1,"EUROPARING, Mittelstreifen; Einzelbäume",215,Sorte der Rotesche,Fraxinus pennsylvanica Patmore,2016
6.58781748975565,51.3602454711026,0871233/1,"EUROPARING, Mittelstreifen; Einzelbäume",159,Sorte der Rotesche,Fraxinus pennsylvanica Patmore,2016
6.51761008787539,51.3732946307284,0371409,AN DER ALTEN BURG,1,Kegel- Linde Glenleven,Tilia cordata Glenleven,2016
6.52784279345688,51.388851834725,0371539,SPERBERDYK,25,Stiel-Eiche,Quercus robur,2016
6.58723007986759,51.3600983815922,0871233/1,"EUROPARING, Mittelstreifen; Einzelbäume",156,Sorte der Rotesche,Fraxinus pennsylvanica Patmore,2016
6.59724031084346,51.2981629787036,2675232,"FDF Fischeln, Kölner Straße",6095,Winter-Linde,Tilia cordata,2016
6.595663118386,51.2989256056395,2675232,"FDF Fischeln, Kölner Straße",6085,Feld-Ahorn,Acer campestre,2016
6.5957451171252,51.2988455471226,2675232,"FDF Fischeln, Kölner Straße",6086,Winter-Linde,Tilia cordata,2016
6.6001565486801,51.298337514521,2675232,"FDF Fischeln, Kölner Straße",6092,Amberbaum,Liquidambar styraciflua,2016
6.59533577334039,51.2978808072319,2675232,"FDF Fischeln, Kölner Straße",6094,Gemeine Hainbuche,Carpinus betulus,2016
6.59952797627289,51.2968216091838,2675232,"FDF Fischeln, Kölner Straße",988,Winter-Linde,Tilia cordata,2016
6.59654093827741,51.2989297915754,2675232,"FDF Fischeln, Kölner Straße",6087,Feld-Ahorn,Acer campestre,2016
6.59968385822874,51.296796459876,2675232,"FDF Fischeln, Kölner Straße",989,Winter-Linde,Tilia cordata,2016
6.59923783557899,51.2987544157956,2675232,"FDF Fischeln, Kölner Straße",629,Amberbaum,Liquidambar styraciflua,2016
6.52039085064547,51.369002802456,0371599,STEEGER DYK,494,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2016
6.50503843411084,51.3773458537301,0371615,CYRIAKUSSTRAßE,9,Zwerg- oder Kugelesche,Fraxinus excelsior Nana,2016
6.5924712499338,51.361445748005,0871233/1,"EUROPARING, Mittelstreifen; Einzelbäume",244,Sorte der Rotesche,Fraxinus pennsylvanica Patmore,2016
6.50224093838233,51.3784380277579,1375234,"FDF Hüls, Am Strathof",217,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.50465781472148,51.3815496611854,1375234,"FDF Hüls, Am Strathof",375,Winter-Linde,Tilia cordata,2016
6.50305977531976,51.3830982029597,1375234,"FDF Hüls, Am Strathof",412,Berg-Ulme,Ulmus glabra,2016
6.50331688066394,51.3830937930517,1375234,"FDF Hüls, Am Strathof",419,Gewöhnlicher Trompetenbaum,Catalpa bignonioides,2016
6.54645904187467,51.3128811441257,2575230/N,"FDF Hauptfriedhof NEU, Heideckstraße",1779,Gemeine Hainbuche,Carpinus betulus,2016
6.58615674064839,51.3408671827203,0870335,GNEISENAUSTRAßE,9,Japanische Zierkirsche,Prunus serrulata Kanzan,2016
6.54597640791978,51.3119484482625,2575230/N,"FDF Hauptfriedhof NEU, Heideckstraße",1892,Winter-Linde,Tilia cordata,2016
6.5493204467396,51.312932833785,2575230/N,"FDF Hauptfriedhof NEU, Heideckstraße",2341,Spitz-Ahorn,Acer platanoides,2016
6.54782505622024,51.3109631467472,2575230/N,"FDF Hauptfriedhof NEU, Heideckstraße",2775,Sorte vom Berg-Ahorn,Acer pseudoplatanus Atropurpureum,2016
